timetweet,isitweet,id,name,label
2021-03-23 5:00:43,b'RT @amanz: Pencipta Vaksin Covid-19 Pfizer-BioNTech Kini Membangunkan Pula Vaksin Untuk\xc2\xa0Kanser https://t.co/oMv5ClG8wu https://t.co/MA7kjWt\xe2\x80\xa6',1374224566734573571,pidutMFZ,netral
2021-03-23 5:00:41,b'Ayo vaksin lindungi diri dan keluarga dari Covid-19\n\n@divisihumaspolri \n#kapoldasulsel \n#poldasulsel \n#opsyustisipoldasulsel https://t.co/d1zXsepZ6A',1374224559033909250,Ditpamobvit15,positif
2021-03-23 5:00:31,b'Vaksin Astrazeneca didistribusikan dgn sgt baik ke jawa timur sehingga diapresiasi presiden jokowi Divaksin Asyik Lho https://t.co/By52tPxmc1',1374224519011823618,AjengMerindu,netral
2021-03-23 5:00:26,b'Demi apa ini vaksin kedua lebih sakit \xf0\x9f\x98\xad\xf0\x9f\x98\xad',1374224495049728004,lipianne,negatif
2021-03-23 5:00:22,b'Guru Penerima Vaksin Melebihi Database https://t.co/KHxn6DW7Xb',1374224478519980035,jawapos,netral
2021-03-23 5:00:00,b'Sampurasun wargi jabar \xf0\x9f\xa5\xb0\n.\nWargi sudah tahu Vaksin COVID-19 AstraZeneca?\n.\nVaksin ini adalah salah satu vaksin yang akan digunakan dalam proses pelaksanaan vaksinasi COVID-19 nasional di Indonesia \xf0\x9f\x98\x8a\n.\nYuk simak info selengkapnya tentang Vaksin COVID-19 AstraZeneca \xf0\x9f\x98\x89 https://t.co/TvrlbttdF4',1374224387960762373,jabarprovgoid,netral
2021-03-23 4:59:48,b'Ketua MUI dan para santri Jawa Timur berterima kasih kepada bapak Jokowi karena diberi diberi vaksin astrazeneca dan kami bersyukur mudah-mudahan nanti dapat ditiru oleh komponen masyarakat lain\nDivaksin Asyik Lho https://t.co/QqyEpDm3jG',1374224336521863169,Wonosoboasri3,positif
2021-03-23 4:59:43,b'Setelah vaksin ke-2 rasanya kok malah mual \xf0\x9f\xa4\xa2',1374224314992521220,sheilanarita,negatif
2021-03-23 4:59:42,"b'RT @FerdinandHaean3: Bg saya bukan soal vaksinnya yg menarik perhatian, tapi kaos orange yg dikenakan Anies Baswedan ini. Mudah2an pertanda\xe2\x80\xa6'",1374224311494475778,Botet95003594,negatif
2021-03-23 4:59:38,b'Ketua MUI dan para santri Jawa Timur berterima kasih kepada bapak Jokowi karena diberi diberi vaksin astrazeneca dan kami bersyukur mudah-mudahan nanti dapat ditiru oleh komponen masyarakat lain\nDivaksin Asyik Lho https://t.co/HQT2bwyUeZ',1374224297049292804,cupangmu1,positif
